Wall time,Step,Value
1523800014.4013631,0,0.057916078716516495
1523800014.7299838,10,0.016505002975463867
1523800014.8835335,20,0.006029273383319378
1523800015.0594127,30,0.0019181660609319806
1523800015.230435,40,0.0011549529153853655
1523800015.395518,50,0.0005239946185611188
1523800015.5556252,60,0.00026660863659344614
1523800015.7201242,70,0.00018582404300104827
1523800015.885701,80,9.768909512786195e-05
1523800016.0410094,90,7.344267214648426e-05
1523800016.1913567,100,6.893325917189941e-05
1523800016.3467593,110,4.975391857442446e-05
1523800016.5097826,120,5.129273631609976e-05
1523800016.6673086,130,5.640176823362708e-05
1523800016.8224409,140,4.549833101918921e-05
1523800016.9770725,150,3.824643499683589e-05
1523800017.134809,160,4.396216900204308e-05
1523800017.3066704,170,3.1319512345362455e-05
1523800017.4583733,180,2.9141325285308994e-05
1523800017.6267188,190,2.1851054043509066e-05
1523800017.797045,200,2.278831016155891e-05
1523800017.9610443,210,2.542745460232254e-05
1523800018.124732,220,1.751052877807524e-05
1523800018.2754714,230,2.0197183403070085e-05
1523800018.4293988,240,2.0496076103881933e-05
1523800018.588103,250,1.3532262528315187e-05
1523800018.7516289,260,1.7349231711705215e-05
1523800018.905617,270,1.3166440112399869e-05
1523800019.064794,280,1.9607143258326687e-05
1523800019.2282777,290,1.2678984603553545e-05
1523800019.396871,300,1.1356157301634084e-05
1523800019.564224,310,1.1608649401750881e-05
1523800019.7384405,320,1.0159188605030067e-05
1523800019.91163,330,7.728462151135318e-06
1523800020.0811868,340,8.54203517519636e-06
1523800020.2505028,350,8.97032987268176e-06
1523800020.4052358,360,6.214455424924381e-06
1523800020.5828314,370,6.0943743847019505e-06
1523800020.7483745,380,6.364143700920977e-06
1523800020.9148135,390,6.548258170369081e-06
1523800021.0793698,400,6.685301286779577e-06
1523800021.2612586,410,6.5193667069252115e-06
1523800021.4386437,420,7.682141585974023e-06
1523800021.6131217,430,7.395308330160333e-06
1523800021.7803087,440,7.598192041768925e-06
1523800021.9481068,450,6.312432560662273e-06
1523800022.0942245,460,7.4234430940123275e-06
1523800022.244222,470,6.118193596194033e-06
1523800022.405477,480,5.535295258596307e-06
1523800022.573107,490,7.362923952314304e-06
1523800022.7598546,500,7.622767043358181e-06
1523800022.9318275,510,1.051698563969694e-05
1523800023.098177,520,6.836689863121137e-06
1523800023.2538033,530,8.833076208247803e-06
1523800023.4193902,540,6.080597358959494e-06
1523800023.6016474,550,1.8726286725723185e-05
1523800023.7752204,560,4.925256871501915e-05
1523800023.9218655,570,1.6903089999686927e-05
1523800024.077505,580,3.0092423912719823e-05
1523800024.2297964,590,1.6016816516639665e-05
1523800024.3759415,600,2.1587144146906212e-05
1523800024.5319364,610,8.129006346280221e-06
1523800024.6936748,620,2.0957684682798572e-05
1523800024.8496556,630,9.04448825167492e-05
1523800025.0065935,640,3.378791734576225e-05
1523800025.163213,650,2.4129956727847457e-05
1523800025.3100653,660,1.7256123101105914e-05
1523800025.4620755,670,1.5144420103752054e-05
1523800025.6180406,680,1.2712247553281486e-05
1523800025.7796316,690,7.821928193152416e-06
1523800025.9469411,700,1.0448035936860833e-05
1523800026.1253338,710,1.63781842275057e-05
1523800026.2961464,720,8.982739927887451e-06
1523800026.4709616,730,8.397367309953552e-06
1523800026.6291559,740,1.3723413758270908e-05
1523800026.8081963,750,7.938201633805875e-06
1523800026.9772959,760,6.155305527499877e-06
1523800027.1358397,770,6.192957698658574e-06
1523800027.2985508,780,7.96597760199802e-06
1523800027.4526157,790,7.496958460251335e-06
1523800027.6088445,800,6.634337751165731e-06
1523800027.7786088,810,6.2004310166230425e-06
1523800027.947124,820,6.955257958907168e-06
1523800028.1102233,830,6.5887147684406955e-06
1523800028.261421,840,6.957855930522783e-06
1523800028.4093568,850,5.0379394451738335e-06
1523800028.5657263,860,4.116855961910915e-06
1523800028.716569,870,4.155863734922605e-06
1523800028.8680053,880,3.870327418553643e-06
1523800029.0384343,890,3.6686178646050394e-06
1523800029.1925097,900,3.075635959248757e-06
1523800029.3430958,910,3.1494585073232884e-06
1523800029.5077167,920,3.372255150679848e-06
1523800029.6477566,930,3.178638735334971e-06
1523800029.8015025,940,3.1686304282629862e-06
1523800029.957681,950,3.057579306187108e-06
1523800030.1063867,960,2.9825484944012715e-06
1523800030.2633579,970,2.9589159566967282e-06
1523800030.4146755,980,3.8652101466141175e-06
1523800030.5570796,990,3.5429616218607407e-06
1523800030.7064357,1000,3.978222139267018e-06
1523800030.8677237,1010,5.201102794671897e-06
1523800031.0331352,1020,5.205336947256001e-06
1523800031.1812131,1030,3.843550530291395e-06
1523800031.332898,1040,3.631583467722521e-06
1523800031.4936285,1050,3.4088329812220763e-06
1523800031.6529818,1060,3.6021460800839122e-06
1523800031.8135653,1070,3.2237621780950576e-06
1523800031.9711397,1080,8.684068234288134e-06
1523800032.1212702,1090,4.462410743144574e-06
1523800032.2826843,1100,9.014759598358069e-06
1523800032.432482,1110,1.3413046872301493e-05
1523800032.603218,1120,1.0695075616240501e-05
1523800032.756831,1130,1.6879523172974586e-05
1523800032.9271467,1140,2.8205045964568853e-05
1523800033.0868402,1150,4.382339466246776e-05
1523800033.2343497,1160,6.043762914487161e-05
1523800033.386041,1170,0.0002042225532932207
1523800033.5396345,1180,9.988572855945677e-05
1523800033.7017515,1190,0.0002329065027879551
1523800033.8441632,1200,0.00012100251478841528
1523800033.9944623,1210,7.07798681105487e-05
1523800034.1759918,1220,2.845984090527054e-05
1523800034.319587,1230,2.202082578151021e-05
1523800034.4760287,1240,1.6919935660553165e-05
1523800034.6295745,1250,8.56645783642307e-06
1523800034.7797246,1260,6.149804903543554e-06
1523800034.9311829,1270,3.8309849514917005e-06
1523800035.0865974,1280,3.6136314065515762e-06
1523800035.2487602,1290,2.546370751588256e-06
1523800035.4008894,1300,2.274605549246189e-06
1523800035.560415,1310,2.458094741086825e-06
1523800035.7292848,1320,2.28799763135612e-06
1523800035.8710542,1330,2.1850314624316525e-06
1523800036.0308053,1340,1.763659611242474e-06
1523800036.1786551,1350,1.652754235692555e-06
1523800036.3284948,1360,1.7761386743586627e-06
1523800036.4765291,1370,2.339085767744109e-06
1523800036.6372783,1380,2.2153221834742e-06
1523800036.7967246,1390,1.9022503465748741e-06
1523800036.9646425,1400,2.55528084380785e-06
1523800037.1220114,1410,2.066916749754455e-06
1523800037.298445,1420,1.9612953110481612e-06
1523800037.4641109,1430,2.27026089305582e-06
1523800037.6106067,1440,2.35074139709468e-06
1523800037.7707083,1450,1.969473714780179e-06
1523800037.9660769,1460,2.105066414515022e-06
1523800038.1194572,1470,1.8012216287388583e-06
1523800038.2834098,1480,2.016350890698959e-06
1523800038.436037,1490,1.6835631413414376e-06
1523800038.611956,1500,1.7303121921941056e-06
1523800038.7722592,1510,1.865241642917681e-06
1523800038.9738286,1520,1.61302818924014e-06
1523800039.139517,1530,1.9064727894146927e-06
1523800039.3085346,1540,1.9357391920493683e-06
1523800039.4739916,1550,1.907598516481812e-06
1523800039.6358852,1560,1.5581669003950083e-06
1523800039.799395,1570,2.0019356270495337e-06
1523800040.0147479,1580,1.7770621525414754e-06
1523800040.2148252,1590,1.599506617822044e-06
1523800040.3779488,1600,1.598334165464621e-06
