##### Analysis of 2018-04-26 10:17:25.720761 #####
Ethan
--- Absolute Error ---
7.76854E-01 +- 1.21391E-01
7.76633E-01 +- 1.21428E-01
7.76753E-01 +- 1.21446E-01
7.77181E-01 +- 1.21468E-01
7.76687E-01 +- 1.21431E-01
7.76745E-01 +- 1.21454E-01
7.76692E-01 +- 1.21394E-01
7.76707E-01 +- 1.21426E-01
7.76689E-01 +- 1.21454E-01
7.76603E-01 +- 1.21358E-01
--- Symmetry Error ---
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
--- Idempotence Error ---
6.53966E-03 +- 1.36713E-03
4.34961E-03 +- 5.70186E-04
7.01930E-03 +- 1.47306E-03
1.51576E-02 +- 2.45197E-03
3.48079E-03 +- 8.89203E-04
6.08383E-03 +- 1.22916E-03
4.75979E-03 +- 9.16137E-04
4.57069E-03 +- 6.35738E-04
5.33302E-03 +- 9.26990E-04
3.85624E-03 +- 5.06073E-04
--- Occupance Error ---
1.19718E+01 +- 1.79322E-01
1.20804E+01 +- 6.82825E-02
1.20235E+01 +- 1.30370E-01
1.20780E+01 +- 3.36532E-01
1.19683E+01 +- 8.02392E-02
1.20431E+01 +- 2.22298E-01
1.20287E+01 +- 1.18606E-01
1.19836E+01 +- 1.00626E-01
1.20182E+01 +- 1.33969E-01
1.20496E+01 +- 7.72792E-02
--- Avg. Iterations ---
1.10600E+01 +- 1.04709E+00
1.09000E+01 +- 8.77496E-01
1.11400E+01 +- 1.00020E+00
1.17000E+01 +- 1.04403E+00
1.07400E+01 +- 6.87314E-01
1.15800E+01 +- 1.11517E+00
1.09200E+01 +- 8.44748E-01
1.07400E+01 +- 8.20000E-01
1.11200E+01 +- 9.51630E-01
1.05800E+01 +- 7.76917E-01
Ethen
--- Absolute Error ---
7.17763E-01 +- 1.76875E-01
7.18001E-01 +- 1.76929E-01
7.17981E-01 +- 1.76999E-01
7.17936E-01 +- 1.76922E-01
7.17859E-01 +- 1.76876E-01
7.17876E-01 +- 1.76889E-01
7.17904E-01 +- 1.76924E-01
7.17765E-01 +- 1.76888E-01
7.17954E-01 +- 1.76873E-01
7.17889E-01 +- 1.76910E-01
--- Symmetry Error ---
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
0.00000E+00 +- 0.00000E+00
--- Idempotence Error ---
2.90364E-03 +- 7.68414E-04
8.37750E-03 +- 1.91671E-03
6.09903E-03 +- 1.71141E-03
4.87113E-03 +- 1.03483E-03
4.05629E-03 +- 7.43540E-04
4.45620E-03 +- 9.47516E-04
5.51259E-03 +- 8.73121E-04
2.12080E-03 +- 3.93809E-04
3.02646E-03 +- 6.03184E-04
3.89602E-03 +- 6.96053E-04
--- Occupance Error ---
1.40012E+01 +- 8.06425E-02
1.40011E+01 +- 5.10926E-01
1.39173E+01 +- 1.33630E-01
1.40387E+01 +- 1.49603E-01
1.39976E+01 +- 8.46624E-02
1.40376E+01 +- 9.80940E-02
1.39571E+01 +- 1.87215E-01
1.40264E+01 +- 4.10083E-02
1.39612E+01 +- 6.78270E-02
1.39561E+01 +- 1.34035E-01
--- Avg. Iterations ---
1.62200E+01 +- 3.26980E+00
1.72000E+01 +- 3.91408E+00
1.68200E+01 +- 3.68071E+00
1.69400E+01 +- 3.99204E+00
1.64800E+01 +- 3.77486E+00
1.64400E+01 +- 3.08649E+00
1.70000E+01 +- 4.11339E+00
1.59400E+01 +- 3.39063E+00
1.63200E+01 +- 3.42602E+00
1.65200E+01 +- 3.51135E+00
Ethin--- Absolute Error ---
7.14485E-01 +- 2.10214E-01
7.13937E-01 +- 2.10334E-01
7.14620E-01 +- 2.10392E-01
7.14105E-01 +- 2.10313E-01
7.13883E-01 +- 2.10275E-01
7.13803E-01 +- 2.10244E-01
7.14030E-01 +- 2.10343E-01
